,action,correct_resp,is_type,resp_time,response,time_of_resp,trial_type,trigger_name,cpu_trigger_time,task,trigger,trigger_time,trigger_index
124,,,,,,,,,,Bio_Motion,1,1500.0510000000002,3000102
125,,,,,,,,,,Bio_Motion,4,1508.2256,3016451
126,,,,,,,,,,Bio_Motion,1,1509.997,3019994
127,,,,,,,,,,Bio_Motion,4,1513.9535,3027906
128,,,,,,,,,,Bio_Motion,1,1516.0541,3032108
129,,,,,,,,,,Bio_Motion,4,1519.1154,3038230
130,,,,,,,,,,Bio_Motion,1,1520.9095,3041819
131,,,,,,,,,,Bio_Motion,4,1528.057,3056114
132,,,,,,,,,,Bio_Motion,1,1529.8145,3059629
133,,,,,,,,,,Bio_Motion,16,1539.869,3079738
134,,,,,,,,,,Bio_Motion,1,1542.4944,3084988
135,,,,,,,,,,Bio_Motion,16,1552.181,3104362
136,,,,,,,,,,Bio_Motion,1,1554.8177,3109635
137,,,,,,,,,,Bio_Motion,4,1558.8778,3117755
138,,,,,,,,,,Bio_Motion,1,1560.5975,3121195
139,,,,,,,,,,Bio_Motion,4,1568.6353,3137270
140,,,,,,,,,,Bio_Motion,1,1570.3695,3140739
141,,,,,,,,,,Bio_Motion,16,1580.4279999999999,3160856
142,,,,,,,,,,Bio_Motion,1,1582.6870000000001,3165374
143,,,,,,,,,,Bio_Motion,16,1592.741,3185482
